Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
Lunch - Day 25,2026-08-25,12:30,2026-08-25,14:00,Carrot & Cucumber Salad | Roti | White Rice | Amaranthus Dal | Beetroot Tomato Rasam | Bisbele Bath | Kakarakaya (Bitter Gourd) Fry | Rajma Masala | Potato Chips | Dahi Vada | Dosakaya Tomato Chutney,,False
Snacks - Day 25,2026-08-25,16:45,2026-08-25,18:00,Kachori 1 Big Pc | Tomato Sauce | Masala Tea | Coffee | Milk,,False
Dinner - Day 25,2026-08-25,19:30,2026-08-25,21:00,Beetroot & Carrot Salad | Pulka | White Rice | Dal Makhani | Sambar | Mushroom Biryani | Snake Gourd Poriyal | Aloo Mutter Curry | Thick Curd | Guava Fruit | Tomato Pickle | Milk + Cofee Powder,,False
Breakfast - Day 26,2026-08-26,07:15,2026-08-26,09:00,"Onion Rava Bonda (Big size 3pcs, if not 4pcs) | Vegetable Moon Dal Kitchidi | Groundnut Chutney + Sambar | Mango Pickle | White Bread+Butter+Jam | Sprouts (1 small cup) | Masala Onion Omlet | Tea | Coffee | Milk",,False
Lunch - Day 26,2026-08-26,12:30,2026-08-26,14:00,Onions & Lemon Salad | Palak Roti | White Rice | Dal | Pachi Pulusu | Special Rice | Boiled Stir Fry Chicken Masala (Dry) | Boiled Stir Fry Paneer Masala (Dry) | Vegetable Jalfrezi | Chips/Fryums/Papad | Butter Milk/Lassi/Lemon Water | Fresh Vegetable Chutney | Badusha,,False
Snacks - Day 26,2026-08-26,16:45,2026-08-26,18:00,Vada Pav 2 Pcs | Mint Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 26,2026-08-26,19:30,2026-08-26,21:00,"Beetroot & Carrot Salad | Chapathi | White Rice | Tomato Dal | Rasam | Broken Wheat Rava Upma, Coconut Chutney | Carrot Beans Poriyal | Arbi Ka Gravy | Thick Curd | Pineapple Cut Fruit | Lemon Pickle | Milk + Cofee Powder",,False
Breakfast - Day 27,2026-08-27,07:15,2026-08-27,09:00,Mix Veg Uttappam (2 pcs standard size) | Poha | Sambar | Coconut Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Poach | Tea | Coffee | Milk,,False
Lunch - Day 27,2026-08-27,12:30,2026-08-27,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Ridge Gourd Dal | Sambar | Pudina Rice | Guthi Vankaya Curry | Kala Chana Masala | Finger Fryums | Lemon Water | Potlakaya Perugu Chutney,,False
Snacks - Day 27,2026-08-27,16:45,2026-08-27,18:00,Sambar Vada | Masala Tea/Coffee/Milk,,False
Dinner - Day 27,2026-08-27,19:30,2026-08-27,21:00,Beetroot & Carrot Salad | Roti | White Rice | Dal Fry | Beetroot Tomato Rasam | Gobhi Manchuria | Rajma Masala | Thick Curd | Banana | Ginger Pickle | Milk + Cofee Powder,,False
Breakfast - Day 28,2026-08-28,07:15,2026-08-28,09:00,Uggani + Mirchi Bajji | Basin Chilla (2 Pcs thin) | Coconut Chutney | Tomato Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 28,2026-08-28,12:30,2026-08-28,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal Tadka | Rasam | Jeera Rice | Raw Banana Fry | Lobia Masala (Cowpeas in Onion Tomato Gravy) | Papad | Lassi | Beerakaya Chutney | Poornalu,,False
Snacks - Day 28,2026-08-28,16:45,2026-08-28,18:00,Onion Soft Pakoda | Tomato Chutney | Ginger Tea | Coffee | Milk,,False
Dinner - Day 28,2026-08-28,19:30,2026-08-28,21:00,Onions & Lemon Salad | Missi Roti | White Rice | Dal | Sambar | Dhaba Style Chicken Curry (Non-Veg) | Paneer Butter Masala (Veg) | Vegetable Kolhapuri | Thick Curd | Grapes | Fresh Vegetable Chutney/Pickle | Milk + Cofee Powder,,False
Breakfast - Day 29,2026-08-29,07:15,2026-08-29,09:00,Masala Ghee Roast Dosa | Vada Pav | Groundnut Chutney | Mint Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 29,2026-08-29,12:30,2026-08-29,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Mudda Pappu | Beetroot Tomato Rasam | Pulihora (Tamarind Rice) | Majiga Pulusu | Chole Soya Chunks Curry | Papad | Lemon Water | Avakaya (Mango Pickle),,False
Snacks - Day 29,2026-08-29,16:45,2026-08-29,18:00,Punugulu 10 Pcs Std Size | Groundnut/Coconut Chutney | Ginger Tea | Coffee | Milk,,False
Dinner - Day 29,2026-08-29,19:30,2026-08-29,21:00,"Beetroot & Carrot Salad | Roti | White Rice | Mango Dal | Bachali Kura Pulusu (Malabar Spinach) | Adai Dosa -2 Pcs, Tomato Onion Chutney | Cabbage Beans Poriyal | Tomato Baingan Masala | Thick Curd | Muskmelon Cut Fruit | Red Chilli Pickle | Milk + Cofee Powder",,False
Breakfast - Day 30,2026-08-30,07:15,2026-08-30,09:00,"Shavige Bath | Paneer Paratha - 2 Pcs Thin | Coconut Chutney | Thick Curd, Mango Pickle | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk",,False
Lunch - Day 30,2026-08-30,12:30,2026-08-30,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal | Sambar | Chicken Dum Biryani/Vegetable Dum Biryani | Chicken Thick Gravy / Hyderabadi Mirchi Ka Salan | Onion Raitha | Fryums | Nannari Sharbath | Fresh Gongura Chutney | Vanilla Ice Cream (Made with Milk),,False
Snacks - Day 30,2026-08-30,16:45,2026-08-30,18:00,Dahi Puri (8 Pcs) | Onions | Masala Tea | Coffee | Milk,,False
Dinner - Day 30,2026-08-30,19:30,2026-08-30,21:00,"Beetroot & Carrot Salad | Pulka | White Rice | Red Lentil Dal | Rasam | Ragi Idly, Groundnut Chutney | Dondakaya Fry | Vegetable Kurma Gravy | Thick Curd | Papaya Cut Fruit | Tomato Pickle | Milk + Cofee Powder",,False
Breakfast - Day 31,2026-08-31,07:15,2026-08-31,09:00,Carrot Idly | Bhature - 2 Pcs Big | Groundnut Chutney | Chole Curry | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk,,False
Lunch - Day 31,2026-08-31,12:30,2026-08-31,14:00,"Beetroot & Cucumber Salad | Chapathi | White Rice | Palak Dal | Sambar | Tomato Rice | Pesara Punugulu Curry (Pakka Andhra Style) | Drumstick Tomato Masala | Rava Vadiyalu | Butter Milk | Sorakaya Perugu Chutney, Ghee + Podi | Jilebi",,False
Snacks - Day 31,2026-08-31,16:45,2026-08-31,18:00,Dry Maggi | Tomato Sauce | Masala Tea | Coffee | Milk,,False
Dinner - Day 31,2026-08-31,19:30,2026-08-31,21:00,Onions & Lemon Salad | Methi Roti | White Rice | Pesara Pappu | Tomato Rasam | Bhagara Rice | Telangana Chicken Curry (Non-Veg) | Achari Paneer (Veg) | Ladies Finger Boiled Fry | Thick Curd | Mixed Fruit Salad | Gongura Pickle | Milk + Cofee Powder,,False
