Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
Breakfast - Day 7,2026-08-07,07:15,2026-08-07,09:00,Uggani + Mirchi Bajji | Basin Chilla (2 Pcs thin) or Methi Roti | Coconut Chutney | Green Peas + Tomato Sabji | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 7,2026-08-07,12:30,2026-08-07,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal Tadka | Rasam | Jeera Rice | Raw Banana Fry | Yam ka Gravy | Papad | Lassi | Beerakaya Chutney | Semiya Payasam,,False
Snacks - Day 7,2026-08-07,16:45,2026-08-07,18:00,Palak Pakoda | Mint Sauce | Masala Tea | Coffee | Milk,,False
Dinner - Day 7,2026-08-07,19:30,2026-08-07,21:00,Onions & Lemon Salad | Lacha Paratha | White Rice | Pesara Pappu | Sambar | Chicken Tikka Masala (Non-Veg) | Kadai Paneer (Veg) | Tomato Peas Capsicum Masala | Thick Curd | Grapes | Mango Pickle | Milk + Cofee Powder,,False
Breakfast - Day 8,2026-08-08,07:15,2026-08-08,09:00,Masala Ghee Roast Dosa | Vada Pav | Groundnut Chutney | Mint Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 8,2026-08-08,12:30,2026-08-08,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Mudda Pappu | Beetroot Tomato Rasam | Pulihora (Tamarind Rice) | Majiga Pulusu | Chole Soya Chunks Curry | Papad | Lemon Water | Avakaya (Mango Pickle),,False
Snacks - Day 8,2026-08-08,16:45,2026-08-08,18:00,Mysore Bonda 2 Pcs Std Size | Coconut Chutney | Masala Tea | Coffee | Milk,,False
Dinner - Day 8,2026-08-08,19:30,2026-08-08,21:00,"Beetroot & Carrot Salad | Roti | White Rice | Mango Dal | Bachali Kura Pulusu (Malabar Spinach) | Podi Onion Dosa -2 Pcs, Dal Chutney | Cabbage Beans Poriyal | Tomato Baingan Masala | Thick Curd | Muskmelon Cut Fruit | Red Chilli Pickle | Milk + Cofee Powder",,False
Breakfast - Day 9,2026-08-09,07:15,2026-08-09,09:00,"Shavige Bath | Aloo Paratha (2 Pcs Thin) | Coconut Chutney | Thick Curd, Mango Pickle | White Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk",,False
Lunch - Day 9,2026-08-09,12:30,2026-08-09,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal | Sambar | Chicken Dum Biryani/Vegetable Dum Biryani | Chicken Thick Gravy / Hyderabadi Mirchi Ka Salan | Onion Raitha | Fryums | Nannari Sharbath | Fresh Gongura Chutney | Vanilla Ice Cream (Not Frozen Dessert),,False
