Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
Lunch - Day 15,2026-09-15,12:30,2026-09-15,14:00,Carrot & Cucumber Salad | Roti | White Rice | Amaranthus Dal | Beetroot Tomato Rasam | Bisbele Bath | Kakarakaya (Bitter Gourd) Fry | Rajma Masala | Potato Chips | Dahi Vada | Dosakaya Tomato Chutney | Ghee + Podi,,False
Snacks - Day 15,2026-09-15,16:45,2026-09-15,18:00,Aloo Samosa 1 Big Pc | Tomato Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 15,2026-09-15,19:30,2026-09-15,21:00,Beetroot & Carrot Salad | Pulka | White Rice | Dal Makhani | Sambar | Mushroom Biryani | Snake Gourd Poriyal | Aloo Mutter Curry | Thick Curd | Guava Fruit | Tomato Pickle | Milk + Cofee Powder,,False
Breakfast - Day 16,2026-09-16,07:15,2026-09-16,09:00,"Methu Vada (Big size 3pcs, if not 4pcs) | Moong Dal Palak Tepla (Hand Made) 2 Pcs | Sambar | Tomato Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk",,False
Lunch - Day 16,2026-09-16,12:30,2026-09-16,14:00,Onions & Lemon Salad | Palak Roti | White Rice | Gongura (Sorrel Leaves) Dal | Sambar | Vegetable Dum Pulav | Masala Fish Fry / Andhra Chicken Fry | Kaju Tomato Paneer Boiled Fry | Black Chana Masala | Trinagle Fryums | Butter Milk | Coriander + Tomato Chutney | Gulab Jamun,,False
Snacks - Day 16,2026-09-16,16:45,2026-09-16,18:00,Corn Vada | Onion Tomato Chutney | Masala Tea | Coffee | Milk,,False
Dinner - Day 16,2026-09-16,19:30,2026-09-16,21:00,"Beetroot & Carrot Salad | Chapathi | White Rice | Tomato Dal | Rasam | Sooji Upma, Coconut Chutney | Carrot Beans Poriyal | Soya Chunks Masala | Thick Curd | Fruit Custard with Pine apple | Lemon Pickle | Milk + Cofee Powder",,False
Breakfast - Day 17,2026-09-17,07:15,2026-09-17,09:00,Poori (3 Pcs standard size) | Lemon Sevai | Aloo Mutter Curry | Coconut Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Masala Onion Omlet | Tea | Coffee | Milk,,False
Lunch - Day 17,2026-09-17,12:30,2026-09-17,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Ridge Gourd Dal | Sambar | Pudina Rice | Guthi Vankaya Curry | Cluster Beans Masala | Finger Fryums | Lemon Water + Sabja Seeds | Potlakaya Perugu Chutney | Ghee + Podi,,False
Snacks - Day 17,2026-09-17,16:45,2026-09-17,18:00,Poha Cutlet | Mint Sauce | Ginger Tea | Coffee | Milk,,False
Dinner - Day 17,2026-09-17,19:30,2026-09-17,21:00,"Beetroot & Carrot Salad | Roti | White Rice | Dal Maharani | Beetroot Tomato Rasam | Veg Manchuria, Noodles, Tomato Sauce | Arbi Ka Gravy | Rasam | Thick Curd | Banana | Ginger Pickle | Milk + Cofee Powder",,False
Breakfast - Day 18,2026-09-18,07:15,2026-09-18,09:00,Uggani + Mirchi Bajji | Methi Roti or Methi Chapathi (Hand made) 2 Pcs | Coconut Chutney | Green Peas + Tomato Sabji | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 18,2026-09-18,12:30,2026-09-18,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal Tadka | Rasam | Jeera Rice | Raw Banana Fry | Aloo Gobhi Masala | Papad | Lassi | Beerakaya Chutney | Semiya Payasam,,False
Snacks - Day 18,2026-09-18,16:45,2026-09-18,18:00,Raw Banana Bhajji | Coconut Coriander Chutney | Masala Tea | Coffee | Milk,,False
Dinner - Day 18,2026-09-18,19:30,2026-09-18,21:00,Onions & Lemon Salad | Lacha Paratha | White Rice | Pesara Pappu | Sambar | Dhaba Style Chicken Curry (Non-Veg) | Paneer Butter Masala (Veg) | Tomato Peas Capsicum Masala | Thick Curd | (Watermelon + Muskmelon + Papaya) Cut Fruit | Mango Pickle | Milk + Cofee Powder,,False
Breakfast - Day 19,2026-09-19,07:15,2026-09-19,09:00,Onion & Carrot Utappam | Vegetable Poha | Peanut Chutney | Tomato Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 19,2026-09-19,12:30,2026-09-19,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Mudda Pappu | Beetroot Tomato Rasam | Pulihora (Tamarind Rice) | Dondakaya Stir Fry | Chole Soya Chunks Curry | Papad | Majiga Pulusu | Avakaya (Mango Pickle) | Ghee + Podi,,False
Snacks - Day 19,2026-09-19,16:45,2026-09-19,18:00,Punugulu 10 Pcs Std Size | Groundnut/Coconut Chutney | Ginger Tea | Coffee | Milk,,False
Dinner - Day 19,2026-09-19,19:30,2026-09-19,21:00,"Beetroot & Carrot Salad | Roti | White Rice | Mango Dal | Bachali Kura Pulusu (Malabar Spinach) | Set Dosa -2 Pcs, Coconut Chutney | Cabbage Beans Poriyal | Tomato Baingan Masala | Thick Curd | Muskmelon Cut Fruit | Red Chilli Pickle | Milk + Cofee Powder",,False
Breakfast - Day 20,2026-09-20,07:15,2026-09-20,09:00,"Shavige Bath | Paneer Paratha - 2 Pcs Thin | Coconut Chutney | Thick Curd, Mango Pickle | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk",,False
Lunch - Day 20,2026-09-20,12:30,2026-09-20,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal Fry | Chicken Dum Biryani/Paneer Dum Biryani | Chicken Thick Gravy / Hyderabadi Mirchi Ka Salan | Onion Raitha | Fryums | Nannari Sharbath | Fresh Gongura Chutney | Vanilla Ice Cream (Not Frozen Dessert),,False
Snacks - Day 20,2026-09-20,16:45,2026-09-20,18:00,Dahi Puri (8 Pcs) | Onions | Masala Tea | Coffee | Milk,,False
Dinner - Day 20,2026-09-20,19:30,2026-09-20,21:00,"Beetroot & Carrot Salad | Pulka | White Rice | Pesara Pappu | Rasam | Ragi Dosa, Tomato Chutney | Dondakaya Fry | Vegetable Kurma Gravy | Thick Curd | Papaya Cut Fruit | Tomato Pickle | Milk + Cofee Powder",,False
Breakfast - Day 21,2026-09-21,07:15,2026-09-21,09:00,"Carrot Idly | Bhature - 2 Pcs Big | Groundnut Chutney, Sambar | Chole Curry | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk",,False
Lunch - Day 21,2026-09-21,12:30,2026-09-21,14:00,"Beetroot & Cucumber Salad | Chapathi | White Rice | Palak Dal | Sambar | Tomato Rice | Pesara Punugulu Curry (Pakka Andhra Style) | Drumstick Tomato Masala | Rava Vadiyalu | Butter Milk | Sorakaya Perugu Chutney, Ghee + Podi | Jilebi | Ghee + Podi",,False
Snacks - Day 21,2026-09-21,16:45,2026-09-21,18:00,Dry Maggi | Tomato Sauce | Masala Tea | Coffee | Milk,,False
Dinner - Day 21,2026-09-21,19:30,2026-09-21,21:00,Onions & Lemon Salad | Methi Roti | White Rice | Pesara Pappu | Tomato Rasam | Bhagara Rice | Telangana Chicken Curry (Non-Veg) | Achari Paneer (Veg) | Ladies Finger Boiled Fry | Thick Curd | Mixed Fruit Salad | Gongura Pickle | Milk + Cofee Powder,,False
Breakfast - Day 22,2026-09-22,07:15,2026-09-22,09:00,Onion Dosa - 2 Pcs Std Size | Vada Pav | Coconut Chutney | Mint Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Boiled Egg | Tea | Coffee | Milk,,False
Lunch - Day 22,2026-09-22,12:30,2026-09-22,14:00,Carrot & Cucumber Salad | Roti | White Rice | Amaranthus Dal | Beetroot Tomato Rasam | Bisbele Bath | Kakarakaya (Bitter Gourd) Fry | Rajma Masala | Potato Chips | Dahi Vada | Dosakaya Tomato Chutney | Ghee + Podi,,False
Snacks - Day 22,2026-09-22,16:45,2026-09-22,18:00,Kachori 1 Big Pc | Tomato Sauce | Masala Tea | Coffee | Milk,,False
Dinner - Day 22,2026-09-22,19:30,2026-09-22,21:00,Beetroot & Carrot Salad | Pulka | White Rice | Dal Makhani | Sambar | Mushroom Biryani | Snake Gourd Poriyal | Aloo Mutter Curry | Thick Curd | Guava Fruit | Tomato Pickle | Milk + Cofee Powder,,False
Breakfast - Day 23,2026-09-23,07:15,2026-09-23,09:00,"Onion Rava Bonda (Big size 3pcs, if not 4pcs) | Cucumber Poha | Sambar | Coconut Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Masala Onion Omlet | Tea | Coffee | Milk",,False
Lunch - Day 23,2026-09-23,12:30,2026-09-23,14:00,Onions & Lemon Salad | Palak Roti | White Rice | Gongura (Sorrel Leaves) Dal | Pachi Pulusu | Special Rice | Boiled Stir Fry Chicken Masala (Dry) | Boiled Stir Fry Paneer Masala (Dry) | Vegetable Jalfrezi | Chips/Fryums/Papad | Lemon Water + Sabja Seeds | Fresh Vegetable Chutney | Badusha,,False
Snacks - Day 23,2026-09-23,16:45,2026-09-23,18:00,Onion Soft Pakoda | Tomato Chutney | Ginger Tea | Coffee | Milk,,False
Dinner - Day 23,2026-09-23,19:30,2026-09-23,21:00,"Beetroot & Carrot Salad | Chapathi | White Rice | Tomato Dal | Rasam | Broken Wheat Rava Upma, Coconut Chutney | Carrot Beans Poriyal | Arbi Ka Gravy | Thick Curd | Fruit Custard with mixed fruits | Lemon Pickle | Milk + Cofee Powder",,False
Breakfast - Day 24,2026-09-24,07:15,2026-09-24,09:00,Poori (3 pcs standard size) | Tomato Suji Upma | Aloo Basin Chutney | Peanut Chutney | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji (Non-Veg) | Tea | Coffee | Milk,,False
